masp;admissao;nome_servidor;cpf;dt_nasc;situacao_funcional;sigla;setor;carreira;categoria_profissional;nivel;grau;dt_admissao;data_inicio;data_fim_prevista
12421038;3;Douglas Oliveira;04482546623;13/02/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;ENFERMEIRO;IV;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
10862910;3;Luiza Gomes;04482546624;14/02/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE ENFERMAGEM E EQUIPE MULTIDISCIPLINAR;AGAS;PSICOLOGO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14755532;3;Kauan Araujo;04482546625;15/02/1987;CONTRATO TEMPORARIO;HAC;COORDENACAO DO AMBULATORIO;MED;MEDICO ONCOLOGISTA;III;A;07/06/2022;07/06/2022 00:00;06/06/2023 00:00
14892590;2;Manuela Castro;04482546626;16/02/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES CRITICAS;PENF;ENFERMEIRO;IV;A;15/02/2022;15/02/2022 00:00;14/02/2023 00:00
13209564;3;Aline Alves;04482546627;17/02/1987;CONTRATO TEMPORARIO;HAC;GERENCIA DE GESTAO DA INFORMACAO;MED;MEDICO CLINICO;III;A;22/02/2022;22/02/2022 00:00;21/02/2023 00:00
12939666;2;Mateus Silva;04482546628;18/02/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES CRITICAS;AGAS;FISIOTERAPEUTA RESPIRATORIA;III;A;0000-00-00;18/05/2022 00:00;17/05/2023 00:00
14925960;1;Samuel Azevedo;04482546629;19/02/1987;CONTRATO TEMPORARIO;HRJP;NA;MEDRE;MEDICO;I;A;NA;01/03/2021 00:00;28/02/2023 00:00
15275795;1;Bruno Sousa;04482546630;20/02/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE SAUDE E SEGURANCA DO TRABALHADOR;TOS;TECNICO DE SEGURANCA DO TRABALHO;II;A;01/07/2022;01/07/2022 00:00;27/12/2022 00:00
14900294;2;Bianca Araujo;04482546631;21/02/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DO SERVIÇO DE NUTRICAO E DIETETICA;AGAS;NUTRICIONISTA;I;A;11/01/2022;11/01/2022 00:00;10/01/2023 00:00
14700553;1;Nicolash Santos;04482546632;22/02/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14716096;2;Murilo Almeida;04482546633;23/02/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE DIAGNOSTICO POR IMAGEM;TOS;TECNICO EM RADIOLOGIA;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14581060;2;Júlio Castro;04482546634;24/02/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;22/03/2022;22/03/2022 00:00;21/03/2023 00:00
13802319;2;Lara Pereira;04482546635;25/02/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14691224;2;Lavinia Ribeiro;04482546636;26/02/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;22/02/2022;22/02/2022 00:00;21/02/2023 00:00
14970727;1;Alex Alves;04482546637;27/02/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;MED;MEDICO EM RADIOLOG.E DIAGNOST.POR IMAGEM;III;A;23/06/2021;23/06/2021 00:00;22/06/2023 00:00
13411962;3;Gabrielle Souza;04482546638;28/02/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DA EQUIPE MULTIDISCIPLINAR;AGAS;ASSISTENTE SOCIAL;I;A;02/08/2021;02/08/2021 00:00;30/06/2023 00:00
13017934;2;Clara Alves;04482546639;01/03/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;02/07/2022;02/07/2022 00:00;01/07/2023 00:00
15067861;1;Alice Araujo;04482546640;02/03/1987;CONTRATO TEMPORARIO;CSSI;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14540132;2;Vitória Barros;04482546641;03/03/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DO CENTRO DE TRATAMENTO DE QUEIMADOS;PENF;TECNICO DE ENFERMAGEM;II;A;06/10/2022;06/10/2022 00:00;05/10/2023 00:00
12940474;3;Ryan Ferreira;04482546642;04/03/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;30/06/2021;30/06/2021 00:00;29/06/2023 00:00
12423851;3;Erick Barbosa;04482546643;05/03/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;ENFERMEIRO;IV;A;09/12/2021;09/12/2021 00:00;30/06/2023 00:00
14774616;1;Maria Santos;04482546644;06/03/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DE APOIO DIAGNOSTICO E TERAPEUTICO;AGAS;BIOQUIMICO;I;A;0000-00-00;05/02/2022 00:00;04/02/2023 00:00
13011838;3;Davi Correia;04482546645;07/03/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DA MATERNIDADE;MED;MEDICO GINECOLOGISTA;III;A;01/02/2022;07/02/2022 00:00;06/02/2023 00:00
12108577;4;Mateus Cunha;04482546646;08/03/1987;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DAS UNIDADES DE INTERNACAO PEDIATRICA;AGAS;ASSISTENTE SOCIAL;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14759526;1;Brenda Rodrigues;04482546647;09/03/1987;CONTRATO TEMPORARIO;IRS;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
14709752;2;Danilo Correia;04482546648;10/03/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;ENFERMEIRO;IV;A;06/02/2022;06/02/2022 00:00;05/01/2023 00:00
14834840;1;Raissa Ferreira;04482546649;11/03/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;14/03/2022;14/03/2022 00:00;13/03/2023 00:00
12703609;4;Vitoria Ferreira;04482546650;12/03/1987;CONTRATO TEMPORARIO;HAC;COORDENACAO DO AMBULATORIO;MED;MEDICO CLINICO;III;A;04/02/2022;04/02/2022 00:00;03/02/2023 00:00
14329759;1;Alex Dias;04482546651;13/03/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DA MATERNIDADE;PENF;ENFERMEIRO OBSTETRICO;VI;A;0000-00-00;01/02/2022 00:00;31/01/2023 00:00
14329759;2;Julia Ribeiro;04482546652;14/03/1987;CONTRATO TEMPORARIO;HRAD;NA;PENF;ENFERMEIRO;IV;A;NA;26/06/2022 00:00;22/12/2022 00:00
12714325;3;Isabelle Costa;04482546653;15/03/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;MED;MEDICO INFECTOLOGISTA;III;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14581102;3;Aline Sousa;04482546654;16/03/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE ASSISTENCIA FARMACEUTICA;TOS;TECNICO EM FARMACIA;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
13802459;2;Tiago Goncalves;04482546655;17/03/1987;CONTRATO TEMPORARIO;CHPB;COORDENACAO DE ASSISTENCIA FARMACEUTICA;AGAS;FARMACEUTICO;III;A;01/05/2021;01/05/2021 00:00;30/04/2023 00:00
15287162;1;Felipe Rocha;04482546656;18/03/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;0000-00-00;05/07/2022 00:00;04/07/2023 00:00
10910214;2;Julia Almeida;04482546657;19/03/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DAS UNIDADES DE INTERNACAO;PENF;TECNICO DE ENFERMAGEM;II;A;0000-00-00;02/02/2022 00:00;01/02/2023 00:00
13433362;3;Gabriela Rodrigues;04482546658;20/03/1987;CONTRATO TEMPORARIO;DPGF;(DESAT.)COORDENACAO DE FROTA E TRANSPORTE;TOS;AUXILIAR ADMINISTRATIVO;I;A;16/05/2022;16/05/2022 00:00;15/05/2023 00:00
15074404;1;Fábio Rocha;04482546659;21/03/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DAS UNIDADES CRITICAS;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14566285;1;Fábio Pereira;04482546660;22/03/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DO LABORATORIO;TOS;TECNICO EM PATOLOGIA CLINICA;II;A;04/02/2022;04/02/2022 00:00;03/02/2023 00:00
14970750;1;Matilde Sousa;04482546661;23/03/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DAS UNIDADES DE INTERNACAO ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;04/06/2021;04/06/2021 00:00;03/06/2023 00:00
12700696;5;Cauã Araujo;04482546662;24/03/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DA UNIDADE CIRURGICA;MED;MEDICO CIRURGIAO GERAL;III;A;17/11/2021;17/11/2021 00:00;30/06/2023 00:00
15288608;1;Vinícius Cardoso;04482546663;25/03/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES DE INTERNACAO;MED;MEDICO CIRURGIAO TORACICO;III;A;08/07/2022;06/07/2022 00:00;05/07/2023 00:00
11837689;5;Kai Azevedo;04482546664;26/03/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DE INTERNACAO - ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;20/02/2022;20/02/2022 00:00;19/02/2023 00:00
13802509;3;Lavinia Santos;04482546665;27/03/1987;CONTRATO TEMPORARIO;CHPB;COORDENACAO DE SAUDE MENTAL;PENF;TECNICO DE ENFERMAGEM;II;A;22/03/2022;22/03/2022 00:00;21/03/2023 00:00
13991443;4;Isabela Silva;04482546666;28/03/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO NEUROCIRURGIAO;III;A;05/03/2022;05/03/2022 00:00;04/03/2023 00:00
13840962;2;Beatriz Castro;04482546667;29/03/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DE SAUDE MENTAL;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15067028;1;Diego Silva;04482546668;30/03/1987;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;PENF;ENFERMEIRO;IV;A;02/02/2022;02/02/2022 00:00;01/02/2023 00:00
14905772;2;Nicolash Goncalves;04482546669;31/03/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE CLINICA MEDICA;PENF;TECNICO DE ENFERMAGEM;II;A;07/02/2022;07/02/2022 00:00;06/02/2023 00:00
15141799;1;Brenda Melo;04482546670;01/04/1987;CONTRATO TEMPORARIO;HRAD;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
14722037;3;Nicole Costa;04482546671;02/04/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES DE INTERNACAO;TOS;AUXILIAR ADMINISTRATIVO;I;A;25/04/2022;25/04/2022 00:00;24/04/2023 00:00
14126916;5;Vitor Araujo;04482546672;03/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO CLINICO;III;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14790513;4;Eduardo Costa;04482546673;04/04/1987;CONTRATO TEMPORARIO;HRAD;COORDENACAO DA UNIDADE DE PACIENTES EXTERNOS;MED;MEDICO CLINICO;III;A;0000-00-00;19/04/2021 00:00;18/04/2023 00:00
14880413;1;Lara Lima;04482546674;05/04/1987;CONTRATO TEMPORARIO;MOV;NA;MEDRE;MEDICO;I;A;NA;01/03/2020 00:00;28/02/2023 00:00
13187430;1;Gustavo Ribeiro;04482546675;06/04/1987;CONTRATO TEMPORARIO;HRJP;COORDENACAO DE COMPRAS E LOGISTICA;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
15104193;1;Otávio Almeida;04482546676;07/04/1987;CONTRATO TEMPORARIO;HAC;COORDENACAO DE ASSISTENCIA FARMACEUTICA;TOS;AUXILIAR ADMINISTRATIVO;I;A;24/02/2022;24/02/2022 00:00;23/02/2023 00:00
15196769;1;Eduarda Oliveira;04482546677;08/04/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DE GESTAO DA INFORMACAO;TOS;AUXILIAR ADMINISTRATIVO;I;A;19/04/2022;19/04/2022 00:00;18/04/2023 00:00
13803945;5;Alex Rocha;04482546678;09/04/1987;CONTRATO TEMPORARIO;HGB-JA;COORDENACAO DA UNIDADE DE URGENCIA E EMERGENCIA;PENF;TECNICO DE ENFERMAGEM;II;A;23/12/2021;23/12/2021 00:00;30/06/2023 00:00
14904015;2;Bianca Barbosa;04482546679;10/04/1987;CONTRATO TEMPORARIO;MOV;COORDENACAO DA UNIDADE CIRURGICA;PENF;TECNICO DE ENFERMAGEM;II;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14874309;1;Miguel Pereira;04482546680;11/04/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO MEDICA DA TERAPIA INTENSIVA NEONATAL;AGAS;ASSISTENTE SOCIAL;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
14566483;2;Erick Sousa;04482546681;12/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA PEDIATRICA;PENF;ENFERMEIRO;IV;A;03/02/2022;03/02/2022 00:00;02/02/2023 00:00
13704655;3;Cauã Barbosa;04482546682;13/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DA UNIDADE DE TERAPIA INTENSIVA ADULTO;PENF;TECNICO DE ENFERMAGEM;II;A;04/07/2022;04/07/2022 00:00;03/07/2023 00:00
10860815;2;Sofia Cunha;04482546683;14/04/1987;CONTRATO TEMPORARIO;HJK;COORDENACAO DO LABORATORIO;AGAS;FARMACEUTICO;I;A;01/02/2022;01/02/2022 00:00;31/01/2023 00:00
13312087;2;Guilherme Goncalves;04482546684;15/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;PENF;ENFERMEIRO;IV;A;03/07/2022;03/07/2022 00:00;02/07/2023 00:00
15119209;2;Larissa Oliveira;04482546685;16/04/1987;CONTRATO TEMPORARIO;HIJPII;COORDENACAO DE URGENCIA E EMERGENCIA PEDIATRICA;MED;MEDICO GENERALISTA;I;A;01/07/2022;01/07/2022 00:00;27/12/2022 00:00
15119209;1;Gabriel Sousa;04482546686;17/04/1987;CONTRATO TEMPORARIO;HIJPII;NA;MEDRE;MEDICO;I;A;NA;01/03/2022 00:00;28/02/2023 00:00
11591807;3;Renan Dias;04482546687;18/04/1987;CONTRATO TEMPORARIO;CSSFA;COORDENACAO DA UNIDADE DE INTERNACAO E PACIENTES EXTERNOS;PENF;TECNICO DE ENFERMAGEM;II;A;07/03/2022;07/03/2022 00:00;06/03/2023 00:00
14555882;2;Joao Goncalves;04482546688;19/04/1987;CONTRATO TEMPORARIO;JXXIII;COORDENACAO DE URGENCIA E EMERGENCIA ADULTO;MED;MEDICO GENERALISTA;I;A;01/07/2022;01/07/2022 00:00;27/12/2022 00:00
14590384;3;Mariana Cardoso;04482546689;20/04/1987;CONTRATO TEMPORARIO;HAC;COORDENACAO DE ASSISTENCIA FARMACEUTICA;TOS;AUXILIAR ADMINISTRATIVO;I;A;01/07/2022;01/07/2022 00:00;30/06/2023 00:00
14841225;2;Kauê Oliveira;04482546690;21/04/1987;CONTRATO TEMPORARIO;HEM;COORDENACAO DAS UNIDADES CRITICAS;MED;MEDICO EM MEDICINA INTENSIVA;III;A;24/11/2019;01/02/2021 00:00;31/01/2023 00:00
