masp;admissao;nome_servidor;cpf;situacao_funcional;carreira
12421038;3;Douglas Oliveira;4482546623;1;1
10862910;3;Luiza Gomes;4482546624;1;1
14755532;3;Kauan Araujo;4482546625;1;1
14892590;2;Manuela Castro;4482546626;1;1
13209564;3;Aline Alves;4482546627;1;1
12939666;2;Mateus Silva;4482546628;1;1
14925960;1;Samuel Azevedo;4482546629;1;1
15275795;1;Bruno Sousa;4482546630;1;1
14900294;2;Bianca Araujo;4482546631;1;1
14700553;1;Nicolash Santos;4482546632;1;1
14716096;2;Murilo Almeida;4482546633;1;1
14581060;2;Júlio Castro;4482546634;1;1
13802319;2;Lara Pereira;4482546635;1;1
14691224;2;Lavinia Ribeiro;4482546636;1;1
14970727;1;Alex Alves;4482546637;1;1
13411962;3;Gabrielle Souza;4482546638;1;1
13017934;2;Clara Alves;4482546639;1;1
15067861;1;Alice Araujo;4482546640;1;1
14540132;2;Vitória Barros;4482546641;1;1
12940474;3;Ryan Ferreira;4482546642;1;1
12423851;3;Erick Barbosa;4482546643;1;1
14774616;1;Maria Santos;4482546644;1;1
13011838;3;Davi Correia;4482546645;1;1
12108577;4;Mateus Cunha;4482546646;1;1
14759526;1;Brenda Rodrigues;4482546647;1;1
14709752;2;Danilo Correia;4482546648;1;1
14834840;1;Raissa Ferreira;4482546649;1;1
12703609;4;Vitoria Ferreira;4482546650;1;1
14329759;1;Alex Dias;4482546651;1;1
14329759;2;Julia Ribeiro;4482546652;1;1
12714325;3;Isabelle Costa;4482546653;1;1
14581102;3;Aline Sousa;4482546654;1;1
13802459;2;Tiago Goncalves;4482546655;1;2
15287162;1;Felipe Rocha;4482546656;1;2
10910214;2;Julia Almeida;4482546657;1;2
13433362;3;Gabriela Rodrigues;4482546658;1;2
15074404;1;Fábio Rocha;4482546659;1;2
14566285;1;Fábio Pereira;4482546660;1;2
14970750;1;Matilde Sousa;4482546661;1;2
12700696;5;Cauã Araujo;4482546662;1;2
15288608;1;Vinícius Cardoso;4482546663;1;2
11837689;5;Kai Azevedo;4482546664;1;2
13802509;3;Lavinia Santos;4482546665;1;2
13991443;4;Isabela Silva;4482546666;1;2
13840962;2;Beatriz Castro;4482546667;1;2
15067028;1;Diego Silva;4482546668;1;2
14905772;2;Nicolash Goncalves;4482546669;1;2
15141799;1;Brenda Melo;4482546670;1;2
14722037;3;Nicole Costa;4482546671;1;2
14126916;5;Vitor Araujo;4482546672;1;2
14790513;4;Eduardo Costa;4482546673;1;2
14880413;1;Lara Lima;4482546674;1;2
13187430;1;Gustavo Ribeiro;4482546675;1;2
15104193;1;Otávio Almeida;4482546676;1;2
15196769;1;Eduarda Oliveira;4482546677;1;2
13803945;5;Alex Rocha;4482546678;1;2
14904015;2;Bianca Barbosa;4482546679;1;2
14874309;1;Miguel Pereira;4482546680;1;2
14566483;2;Erick Sousa;4482546681;1;2
13704655;3;Cauã Barbosa;4482546682;1;2
10860815;2;Sofia Cunha;4482546683;1;2
13312087;2;Guilherme Goncalves;4482546684;1;2
15119209;2;Larissa Oliveira;4482546685;1;2
15119209;1;Gabriel Sousa;4482546686;1;3
11591807;3;Renan Dias;4482546687;1;3
14555882;2;Joao Goncalves;4482546688;1;3
14590384;3;Mariana Cardoso;4482546689;1;3
14841225;2;Kauê Oliveira;4482546690;1;3
15289390;1;Diogo Gomes;4482546691;1;3
11553542;4;Breno Barbosa;4482546692;1;3
15180953;1;Alex Almeida;4482546693;1;3
15072499;1;Douglas Rodrigues;4482546694;1;3
15189210;1;Leonor Goncalves;4482546695;1;3
14137947;4;Júlia Cardoso;4482546696;1;3
14354922;2;Martim Alves;4482546697;1;3
14952154;1;Sophia Cunha;4482546698;1;3
14555908;1;Pedro Sousa;4482546699;1;3
15072424;1;Kauã Fernandes;4482546700;1;3
12414025;1;Marina Ribeiro;4482546701;1;3
14512479;2;Júlia Melo;4482546702;1;3
14612832;5;Mariana Carvalho;4482546703;1;3
14612832;4;Diogo Pinto;4482546704;1;3
11648870;5;Camila Fernandes;4482546705;1;3
12017299;3;Kauan Sousa;4482546706;1;3
13111174;2;Lara Melo;4482546707;1;3
10915619;5;Davi Cardoso;4482546708;1;3
10915619;3;Kai Gomes;4482546709;1;3
14916381;2;Melissa Cavalcanti;4482546710;1;3
15062771;1;Marina Cavalcanti;4482546711;1;3
10475283;5;Yasmin Santos;4482546712;1;3
14666721;1;Isabela Gomes;4482546713;1;3
14937676;2;Isabelle Goncalves;4482546714;1;3
14937676;1;Lavinia Martins;4482546715;1;3
14637391;1;Lara Ferreira;4482546716;1;3
15074107;1;Luana Rocha;4482546717;1;3
14900096;2;Rebeca Santos;4482546718;1;3
14612774;1;Ana Rodrigues;4482546719;1;3
13642400;2;Ana Melo;4482546720;1;3
14899876;2;Breno Pinto;4482546721;1;3
13006028;2;Leonardo Melo;4482546722;1;3
15070394;1;Vitór Pinto;4482546723;1;3
15071244;1;Nicolash Costa;4482546724;1;3
13802699;2;Paulo Sousa;4482546725;1;3
15100050;1;Mateus Melo;4482546726;1;3
12845970;4;Vinícius Cardoso;4482546727;1;3
14888762;3;Caio Goncalves;4482546728;1;3
14956676;2;Kauan Costa;4482546729;1;3
13648860;2;Julian Souza;4482546730;1;4
15067838;1;Lavinia Gomes;4482546731;1;4
15118920;1;Manuela Carvalho;4482546732;1;4
14892731;2;Giovana Sousa;4482546733;1;4
